split,task,patch_path,label,source_image,source_annotation,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_class,bbox_index
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041002_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041003_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041005_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041005_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041006_box03_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041006_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041008_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041009_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041011_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041011_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041013_box03_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041013_box08_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041014_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041014_box08_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041014_box10_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041015_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041016_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041021_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041022_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041023_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041024_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041025_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041028_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041029_box02_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041030_box07_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041030_box09_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041031_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041031_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041032_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041032_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041035_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041035_box07_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041036_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041036_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041040_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041040_box07_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041041_box08_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041042_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041043_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041043_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041044_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041045_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041046_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041047_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041047_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041048_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041051_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041052_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041053_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041055_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041056_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041057_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041058_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041059_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041060_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041061_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041062_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041062_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041063_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041064_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041066_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041067_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041068_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041069_box03_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041070_box03_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041070_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041072_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041073_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041074_box03_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041074_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041075_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041076_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041077_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041078_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041079_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041079_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041080_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041081_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041083_box03_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041084_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041085_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041086_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041086_box07_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041087_box03_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041087_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041089_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041090_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041091_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041093_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041094_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041095_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041098_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041099_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041102_box06_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041103_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041103_box09_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041104_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041106_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041108_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041109_box04_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041110_box05_copper.jpg,copper,,,,,,,,
train,classification,data/processed/pcb_cls/train/copper/group00041_00041_not_00041111_box03_copper.jpg,copper,,,,,,,,
